t_ms,I_nA,u_mWmm2
130.20000000000002,1.856167430137437,20
130.29999999999998,1.855926584762858,20
130.4,1.8556864847344712,20
130.5,1.8554471277309477,20
130.6,1.8552085114382817,20
130.70000000000002,1.8549706335497693,20
130.79999999999998,1.854733491765982,20
130.9,1.8544970837947432,20
131.0,1.8542614073511072,20
131.1,1.8540264601573329,20
131.20000000000002,1.8537922399428624,20
131.3,1.8535587444442971,20
131.4,1.8533259714053756,20
131.5,1.853093918576948,20
131.6,1.852862583716955,20
131.70000000000002,1.852631964590406,20
131.8,1.8524020589693533,20
131.9,1.852172864632872,20
132.0,1.851944379367035,20
132.1,1.851716600964893,20
132.20000000000002,1.8514895272264493,20
132.3,1.8512631559586397,20
132.4,1.8510374849753086,20
132.5,1.8508125120971866,20
132.6,1.85058823515187,20
132.70000000000002,1.8503646519737968,20
132.8,1.8501417604042254,20
132.9,1.8499195582912122,20
133.0,1.8496980434895907,20
133.1,1.8494772138609483,20
133.20000000000002,1.8492570672736057,20
133.3,1.8490376016025942,20
133.4,1.8488188147296345,20
133.5,1.8486007045431152,20
133.6,1.8483832689380724,20
133.70000000000002,1.8481665058161654,20
133.8,1.8479504130856585,20
133.9,1.8477349886613976,20
134.0,1.8475202304647897,20
134.1,1.8473061364237822,20
134.20000000000002,1.8470927044728418,20
134.3,1.8468799325529321,20
134.4,1.8466678186114949,20
134.5,1.8464563606024278,20
134.6,1.8462455564860636,20
134.70000000000002,1.8460354042291505,20
134.8,1.84582590180483,20
134.9,1.8456170471926183,20
135.0,1.8454088383783833,20
135.1,1.8452012733543262,20
135.20000000000002,1.8449943501189605,20
135.3,1.8447880666770917,20
135.4,1.8445824210397972,20
135.5,1.8443774112244056,20
135.6,1.8441730352544772,20
135.70000000000002,1.843969291159784,20
135.8,1.843766176976289,20
135.89999999999998,1.8435636907461281,20
136.0,1.8433618305175872,20
136.1,1.8431605943450857,20
136.20000000000002,1.8429599802891548,20
136.3,1.8427599864164195,20
136.39999999999998,1.8425606107995758,20
136.5,1.8423618515173754,20
136.6,1.842163706654604,20
136.70000000000002,1.8419661743020614,20
136.8,1.8417692525565446,20
136.89999999999998,1.841572939520825,20
137.0,1.8413772333036322,20
137.1,1.8411821320196347,20
137.20000000000002,1.840987633789419,20
137.3,1.8407937367394727,20
137.4,1.8406004390021635,20
137.5,1.8404077387157225,20
137.6,1.840215634024224,20
137.70000000000002,1.840024123077567,20
137.8,1.8398332040314562,20
137.9,1.8396428750473854,20
138.0,1.8394531342926164,20
138.1,1.839263979940162,20
138.20000000000002,1.8390754101687663,20
138.3,1.8388874231628884,20
138.4,1.8387000171126826,20
138.5,1.8385131902139795,20
138.6,1.8383269406682707,20
138.70000000000002,1.838141266682687,20
138.8,1.8379561664699835,20
138.9,1.8377716382485194,20
139.0,1.8375876802422417,20
139.1,1.837404290680666,20
139.20000000000002,1.837221467798859,20
139.3,1.8370392098374217,20
139.4,1.8368575150424715,20
139.5,1.8366763816656224,20
